,areas,beds,baths,listing_date,prices,title_len,des_len,school,airport,city,association,view,ใหม่
269,,,,2021-08-26,2100000,76,1466,0,0,0,1,0,0
270,,,,2021-08-22,3590000,64,1503,0,0,0,1,0,0
271,,,,2021-08-22,1495000,60,1312,0,0,0,0,0,0
272,,,,2021-08-22,5950000,70,1533,1,0,0,1,0,0
273,49.0,3.0,2.0,2021-09-29,5000000,75,975,0,0,0,1,0,0
274,,3.0,3.0,2021-09-21,3600000,70,906,0,1,1,1,0,1
275,,5.0,5.0,2021-08-10,13900000,88,1511,1,0,0,1,0,0
276,,3.0,3.0,2021-08-09,5190000,79,1641,1,0,0,1,0,0
277,52.0,3.0,2.0,2021-10-07,4300000,55,657,0,0,0,1,0,0
278,150.0,5.0,5.0,2021-08-17,25000000,85,2823,0,0,0,0,0,0
279,60.0,3.0,2.0,2021-08-27,6500000,54,1739,0,0,0,1,0,0
280,37.0,3.0,3.0,2021-08-26,6400000,85,784,0,0,0,0,0,0
281,28.0,2.0,2.0,2021-08-24,3190000,167,1589,1,0,0,1,1,1
282,,3.0,2.0,2021-08-18,5880000,74,1384,0,0,0,1,0,0
283,,,,2021-09-03,2950000,67,1782,0,0,0,1,0,0
284,,,,2021-08-24,3390000,51,1598,1,0,1,1,0,0
285,,4.0,3.0,2021-08-14,7800000,54,1493,0,0,1,1,0,0
286,,3.0,3.0,2021-08-03,4390000,81,1676,1,0,0,1,0,0
287,,4.0,4.0,2021-08-03,7490000,90,1855,1,0,0,1,0,0
288,,5.0,6.0,2021-08-06,70000000,50,1167,0,0,0,1,0,0
289,,4.0,4.0,2021-08-04,10000000,97,1453,1,0,1,1,1,0
290,,4.0,3.0,2021-08-10,4600000,45,1422,0,0,1,1,0,0
291,115.0,2.0,2.0,2021-08-06,2700000,49,968,0,0,1,1,0,0
292,,3.0,3.0,2021-08-09,2600000,66,1743,0,0,0,1,0,0
293,,3.0,2.0,2021-08-09,2840000,53,1594,1,0,1,0,0,0
294,66.0,3.0,2.0,2021-08-09,2840000,53,1525,1,0,1,0,0,0
295,,4.0,4.0,2021-08-09,15900000,72,959,0,0,0,0,0,0
296,,,,2021-08-02,8290000,59,888,0,0,1,1,0,0
297,,3.0,3.0,2021-08-10,12500000,53,587,0,0,0,0,0,0
298,304.0,3.0,4.0,2021-08-02,23000000,92,872,0,0,1,0,1,0
299,,4.0,4.0,2021-08-02,15000000,93,1192,0,0,1,1,1,0
300,,3.0,3.0,2021-10-12,6710000,66,1431,0,0,0,0,0,0
301,,3.0,2.0,2021-08-08,4790000,69,1373,0,0,1,1,0,0
302,50.0,4.0,3.0,2021-07-30,4600000,73,865,0,0,1,1,0,0
303,,4.0,3.0,2021-08-02,4990000,85,1274,0,0,1,1,1,0
304,,3.0,2.0,2021-07-27,4500000,61,1018,0,0,0,1,0,0
305,,3.0,3.0,2021-08-09,5490000,81,1522,1,0,1,1,0,0
306,,3.0,3.0,2021-07-29,6500000,255,1495,0,1,1,0,0,0
307,339.0,2.0,2.0,2021-10-18,7690000,46,1497,0,1,0,0,0,0
308,45.0,3.0,2.0,2021-08-13,4190000,67,1418,0,0,1,1,0,0
309,,,,2021-08-02,3690000,57,1849,1,0,1,1,0,0
310,55.0,3.0,1.0,2021-07-30,2200000,68,1353,0,0,1,1,0,0
311,101.0,3.0,3.0,2021-07-29,16500000,27,1206,0,0,0,1,0,0
312,40.0,3.0,4.0,2021-07-23,7900000,66,1085,1,0,0,1,1,0
313,,3.0,2.0,2021-09-10,3790000,53,1205,0,0,1,1,0,0
314,36.0,3.0,1.0,2021-10-11,2200000,52,1604,0,0,0,1,0,0
315,,5.0,5.0,2021-07-29,54000000,44,3146,0,0,0,0,0,0
316,50.0,4.0,2.0,2021-07-24,4390000,48,367,0,1,1,0,0,0
317,145.0,3.0,3.0,2021-07-28,13500000,67,1129,0,0,0,0,0,0
318,,3.0,3.0,2021-07-21,7600000,254,1539,0,1,1,0,0,0
319,265.0,4.0,3.0,2021-08-22,8500000,131,102,0,0,0,0,0,1
320,38.0,3.0,2.0,2021-08-03,3199999,40,1035,1,0,0,1,0,0
321,51.0,3.0,3.0,2021-07-29,3990000,126,1661,0,1,1,1,0,0
322,,4.0,4.0,2021-07-27,9800000,112,1789,1,0,0,1,0,0
323,137.0,5.0,4.0,2021-07-13,10500000,66,720,1,0,0,0,1,0
324,115.0,5.0,5.0,2021-07-18,23000000,57,2021,1,1,1,1,0,0
325,67.0,3.0,3.0,2021-10-10,4990000,85,31,0,0,0,0,0,1
326,50.0,3.0,2.0,2021-07-29,4500000,112,1317,0,0,0,1,0,0
327,38.0,4.0,3.0,2021-07-22,3200000,58,1813,1,0,0,1,0,0
328,,3.0,2.0,2021-07-17,4590000,59,1427,0,0,1,1,0,0
329,85.0,3.0,4.0,2021-07-15,6500000,76,1969,0,1,0,1,0,0
330,,4.0,3.0,2021-07-22,11999000,122,1723,0,0,0,1,0,0
331,,4.0,3.0,2021-07-22,6190000,82,1215,0,0,0,1,0,0
332,150.0,6.0,7.0,2021-07-16,12000000,72,1376,1,0,0,0,0,0
333,55.0,4.0,3.0,2021-07-27,5100000,118,1449,0,1,1,1,0,0
334,81.0,2.0,2.0,2021-07-21,4199998,52,1614,1,0,1,1,0,0
335,60.0,3.0,3.0,2021-07-20,4200000,33,1332,0,1,0,1,0,0
336,,4.0,3.0,2021-07-31,4890000,77,1926,1,0,0,1,0,0
337,,3.0,3.0,2021-07-19,7500000,39,456,0,0,0,0,0,0
338,,3.0,4.0,2021-07-12,11200000,43,1134,0,0,0,0,0,0
339,60.0,3.0,5.0,2021-08-28,22900000,83,868,0,0,0,0,0,1
340,28.0,3.0,1.0,2021-07-17,1050000,64,1511,1,1,0,0,0,0
341,,,,2021-07-09,15000000,61,1202,0,0,0,1,0,0
342,,2.0,2.0,2021-07-19,1990000,65,1348,0,0,0,1,0,0
